Dataset,Method,tau,dmax,gamma,Accuracy,Accuracy_Std,Delta_Accuracy,MacroF1,MacroF1_Std,Delta_MacroF1,Polarization,Polarization_Std,Delta_Polarization
BTC-Alpha,Base,0.5,3.0,1.5,0.7513,0.0099,0.0,0.6523,0.011,0.0,20.7358,0.2406,0.0
BTC-Alpha,EPM,0.5,3.0,1.5,0.7103,0.0115,-0.0545,0.6239,0.0088,-0.0435,15.9648,1.152,-0.2301
BTC-OTC,Base,0.5,3.0,2.0,0.7859,0.0051,0.0,0.7224,0.009,0.0,27.0079,0.3086,0.0
BTC-OTC,EPM,0.5,3.0,2.0,0.7552,0.0183,-0.0391,0.6951,0.0215,-0.0378,22.0044,1.7846,-0.1853
Wiki-Elec,Base,0.8,2.0,1.0,0.7635,0.0136,0.0,0.6948,0.0123,0.0,39.7315,0.6975,0.0
Wiki-Elec,EPM,0.8,2.0,1.0,0.7368,0.0163,-0.0349,0.6747,0.0138,-0.0289,26.9965,1.8556,-0.3205
Wiki-RfA,Base,0.5,3.0,0.5,0.7607,0.0146,0.0,0.6932,0.0076,0.0,49.0213,0.3791,0.0
Wiki-RfA,EPM,0.5,3.0,0.5,0.733,0.0169,-0.0365,0.6662,0.0125,-0.0389,28.2295,3.7602,-0.4241
Slashdot,Base,0.2,4.0,1.5,0.7373,0.0099,0.0,0.6821,0.0084,0.0,81.2504,0.4267,0.0
Slashdot,EPM,0.2,4.0,1.5,0.7119,0.0081,-0.0344,0.6644,0.0077,-0.026,61.4367,1.387,-0.2439
Epinions,Base,0.2,4.0,1.5,0.852,0.0063,0.0,0.7773,0.0072,0.0,118.2626,1.2461,0.0
Epinions,EPM,0.2,4.0,1.5,0.8162,0.007,-0.042,0.7464,0.0066,-0.0398,83.1778,1.3344,-0.2967
